"Id","VALENCE.PLEASANTNESS"
1,33.8898468017578
2,42.2079429626465
3,43.018798828125
4,50.4451599121094
5,40.3172569274902
6,52.2150650024414
7,34.4065895080566
8,46.259090423584
9,39.9770164489746
10,50.3591804504395
11,30.9422855377197
12,45.7316513061523
13,43.8250846862793
14,43.6719970703125
15,45.2446403503418
16,45.472728729248
17,37.8287963867188
18,34.0348777770996
19,38.0585060119629
20,50.0137710571289
21,45.3809814453125
22,36.5136451721191
23,35.3259811401367
24,45.8941955566406
25,36.7515830993652
26,38.245719909668
27,51.7624664306641
28,47.7357559204102
29,59.6732406616211
30,24.9207229614258
31,42.3788108825684
32,41.9773178100586
33,26.7242584228516
34,37.6265487670898
35,46.7147483825684
36,34.5907783508301
37,49.9518013000488
38,50.3718605041504
39,42.7464866638184
40,40.1423721313477
41,43.1209602355957
42,47.4556922912598
43,50.5351791381836
44,47.7142639160156
45,40.0329475402832
46,40.6362953186035
47,32.9541778564453
48,31.8326683044434
49,32.1885223388672
50,35.3250999450684
51,32.9961357116699
52,45.4537048339844
53,55.2192649841309
54,39.3966178894043
55,40.5826797485352
56,40.2629661560059
57,42.1994705200195
58,44.6506118774414
59,47.6796073913574
60,47.1992225646973
61,40.6583671569824
62,31.5662136077881
63,40.4140815734863
64,38.0426635742188
65,52.4788932800293
66,46.6113548278809
67,40.1871643066406
68,45.0267333984375
