"Id","VALENCE.PLEASANTNESS"
1,17.3027572631836
2,36.5540161132812
3,23.7368488311768
4,17.8182907104492
5,23.4436454772949
6,21.2153759002686
7,24.2998371124268
8,14.8300218582153
9,18.6894359588623
10,12.9488887786865
11,28.5911102294922
12,25.5888805389404
13,23.4588756561279
14,26.7428703308105
15,19.4355773925781
16,24.5319690704346
17,22.3754215240479
18,21.8360347747803
19,20.8215522766113
20,35.5405006408691
21,31.2873363494873
22,19.1283893585205
23,21.8859672546387
24,28.1235847473145
25,21.4900817871094
26,26.0171432495117
27,28.5360736846924
28,23.3396091461182
29,15.1873331069946
30,22.7461414337158
31,19.378719329834
32,18.7097206115723
33,25.5731372833252
34,30.7450542449951
35,14.1229839324951
36,18.0216484069824
37,18.7208347320557
38,20.2403774261475
39,29.0731449127197
40,25.0651264190674
41,24.7960529327393
42,22.9236431121826
43,15.9897813796997
44,21.4906311035156
45,36.1260833740234
46,21.9836902618408
47,22.084077835083
48,35.4037284851074
49,26.9948577880859
50,20.5277080535889
51,19.8752670288086
52,22.6707820892334
53,28.9306144714355
54,16.5022583007812
55,29.6721439361572
56,23.7113056182861
57,12.6945190429688
58,22.0021553039551
59,17.8849544525146
60,15.3902616500854
61,26.7724132537842
62,33.919132232666
63,20.2190456390381
64,26.0976657867432
65,15.316520690918
66,20.1808109283447
67,28.3500080108643
68,24.1254577636719
