"Id","VALENCE.PLEASANTNESS"
1,28.6307392120361
2,45.3650894165039
3,40.6231269836426
4,47.2670936584473
5,41.4115333557129
6,49.3698539733887
7,34.1476173400879
8,47.6910285949707
9,39.2122688293457
10,50.5346374511719
11,30.081241607666
12,45.9255409240723
13,43.3083572387695
14,43.1699905395508
15,45.3786888122559
16,44.9942741394043
17,38.8887176513672
18,35.4977874755859
19,37.007080078125
20,49.4849815368652
21,44.9063339233398
22,43.0197525024414
23,37.6374588012695
24,43.4280471801758
25,41.0435256958008
26,40.159049987793
27,49.7018890380859
28,46.4180450439453
29,55.4358673095703
30,25.9491748809814
31,41.4450950622559
32,41.3160285949707
33,29.2304401397705
34,38.3524589538574
35,48.3912734985352
36,36.9636421203613
37,50.6567878723145
38,47.2431221008301
39,40.80859375
40,41.8940582275391
41,43.4843292236328
42,47.6868896484375
43,50.9554672241211
44,47.1668472290039
45,42.7630844116211
46,39.9628295898438
47,36.0659408569336
48,39.4063568115234
49,35.0333251953125
50,41.2101860046387
51,30.9502334594727
52,46.3114852905273
53,51.736270904541
54,37.3955917358398
55,38.1673965454102
56,45.1839141845703
57,40.3249359130859
58,41.0375175476074
59,45.2691650390625
60,48.0541954040527
61,39.8882217407227
62,34.0913963317871
63,46.3242454528809
64,38.9425239562988
65,50.9993438720703
66,47.2208938598633
67,40.3103485107422
68,46.0018730163574
