"Id","VALENCE.PLEASANTNESS"
1,35.0185841991342
2,51.7875428571429
3,41.3779095238095
4,50.6750857142857
5,36.568653968254
6,56.5945714285714
7,39.8474238095238
8,46.9276857142857
9,45.3348285714286
10,50.6813023809524
11,28.48
12,48.9900476190476
13,42.1788761904762
14,42.4799238095238
15,48.741930952381
16,50.9388119047619
17,38.1491776334776
18,40.7552294372294
19,35.407180952381
20,52.8640412698413
21,50.7200642857143
22,45.7975380952381
23,45.8429333333333
24,54.3969362193363
25,42.4633246753247
26,50.8524047619048
27,52.0463142857143
28,47.6057047619048
29,64.6970285714286
30,30.0948380952381
31,54.2389
32,36.8076
33,27.2746047619047
34,45.3144523809524
35,49.9184857142858
36,41.741680952381
37,53.0064095238096
38,47.8341571428571
39,45.8918761904762
40,39.8676333333334
41,44.1986904761905
42,49.3140476190476
43,47.298819047619
44,48.8268523809524
45,51.1668079365079
46,41.4801
47,41.5396904761905
48,47.030842063492
49,33.9259111111111
50,36.9651174603175
51,37.9081177489178
52,45.6074023809524
53,59.9642779220779
54,43.3458873015873
55,41.0095214285714
56,36.7540238095238
57,46.8893857142857
58,44.7733476190476
59,47.9670170995671
60,47.0389682539683
61,37.8486952380952
62,41.4824325396825
63,50.6531119047619
64,33.4840142857143
65,53.5496761904762
66,48.8802666666666
67,45.2089253968254
68,49.0746238095238
